time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-15T15:50:20.900Z,18.4106,-66.167,112,2.6,Md,4,190.8,0.32519013,0.28,pr,pr17074005,2017-03-15T18:42:09.688Z,"1km NW of Bayamon, Puerto Rico",earthquake,5.2,2.1,0,4,reviewed,pr,pr
2017-03-15T15:23:08.600Z,18.4454,-68.9284,110,3.6,Md,16,237.6,0.5228195,0.82,pr,pr17074004,2017-03-15T16:20:25.343Z,"5km ENE of La Romana, Dominican Republic",earthquake,9,4.3,0,9,reviewed,pr,pr
2017-03-15T15:17:19.730Z,60.926,165.5867,16.55,4.9,mb,,111,7.179,0.65,us,us20008s9z,2017-03-15T22:07:32.040Z,"58km NNW of Tilichiki, Russia",earthquake,8.5,4.1,0.032,316,reviewed,us,us
2017-03-15T15:16:48.080Z,36.4031,-96.8891,4.64,3.2,mb_lg,,60,0.015,0.13,us,us20008s9y,2017-03-15T17:52:12.013Z,"10km NW of Pawnee, Oklahoma",earthquake,1.1,2.5,0.068,57,reviewed,us,us
2017-03-15T12:00:40.827Z,63.3506,-149.6098,108.1,2.7,ml,,,,0.27,ak,ak15497906,2017-03-15T12:12:51.192Z,"33km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-15T11:27:51.340Z,42.7032,141.4258,137.47,4.1,mb,,80,1.455,0.38,us,us20008s9i,2017-03-15T11:57:25.040Z,"16km WNW of Tomakomai, Japan",earthquake,7.1,7.4,0.109,23,reviewed,us,us
2017-03-15T11:21:14.160Z,19.1896667,-155.4626667,35.707,2.63,ml,60,106,0.03408,0.11,hv,hv61644821,2017-03-16T04:58:10.440Z,"2km SE of Pahala, Hawaii",earthquake,0.41,0.52,0.203,38,reviewed,hv,hv
2017-03-15T09:59:10.890Z,-6.8069,129.9902,132.78,4.5,mb,,89,1.746,0.81,us,us20008s97,2017-03-15T10:22:51.040Z,"193km NW of Saumlaki, Indonesia",earthquake,8.8,6.6,0.121,20,reviewed,us,us
2017-03-15T08:01:19.660Z,20.1363333,-155.8056667,24.397,3.08,ml,58,138,0.02878,0.17,hv,hv61644531,2017-03-16T04:14:17.486Z,"10km S of Kapaau, Hawaii",earthquake,0.58,0.65,0.129,24,reviewed,hv,hv
2017-03-15T07:30:33.170Z,35.84,140.7033,63.08,4.3,mb,,135,2.026,0.71,us,us20008scs,2017-03-16T01:01:06.333Z,"7km E of Omigawa, Japan",earthquake,8.2,6.6,0.154,12,reviewed,us,us
2017-03-15T05:57:13.300Z,18.3143,-67.6819,15,3,Md,4,309.6,0.20391757,0.03,pr,pr17074003,2017-03-15T07:42:16.951Z,"45km W of Rincon, Puerto Rico",earthquake,1.4,1.5,0,3,reviewed,pr,pr
2017-03-15T05:35:16.900Z,-5.5079,154.0038,42.16,4.8,mb,,119,2.252,1.22,us,us20008s8i,2017-03-15T06:24:49.040Z,"157km SE of Taron, Papua New Guinea",earthquake,9.6,4.8,0.096,34,reviewed,us,us
2017-03-15T04:58:13.100Z,18.8869,-64.435,25,2.9,Md,3,345.6,0.72404212,0.25,pr,pr17074002,2017-03-15T07:41:46.811Z,"55km NNE of Road Town, British Virgin Islands",earthquake,5.8,20.3,0,2,reviewed,pr,pr
2017-03-15T02:26:53.980Z,-7.9489,107.8601,67.86,4.6,mb,,119,2.638,1.18,us,us20008s80,2017-03-15T02:45:59.040Z,"26km SSW of Ciheras, Indonesia",earthquake,8.2,6.4,0.085,41,reviewed,us,us
2017-03-15T02:07:23.000Z,18.0482,-68.922,106,3.5,Md,13,255.6,0.69170277,0.61,pr,pr17074001,2017-03-15T04:36:36.702Z,"42km S of La Romana, Dominican Republic",earthquake,6,5,0,6,reviewed,pr,pr
2017-03-15T01:38:57.450Z,1.7687,127.0391,65.78,5.1,mb,,54,1.043,0.77,us,us20008s7z,2017-03-15T01:56:13.040Z,"108km W of Tobelo, Indonesia",earthquake,6.8,6.4,0.067,72,reviewed,us,us
2017-03-15T00:41:25.600Z,19.1432,-64.8458,24,2.7,Md,5,316.8,0.79411071,0.28,pr,pr17074000,2017-03-15T03:45:30.563Z,"83km NNW of Road Town, British Virgin Islands",earthquake,2.1,24,0,2,reviewed,pr,pr
